amino acid,Canonical_SMILES,PubChem CID,dicarbonyl compounds ,Canonical_SMILES,PubChem CID,AGEs,Canonical_SMILES,PubChem CID
lysine ,C(CCN)CC(C(=O)O)N,5962,saccharose,C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O,5988,pyrraline,C1=C(N(C(=C1)C=O)CCCCC(C(=O)O)N)CO,122228
Lys-Ala,CC(C(=O)O)NC(=O)C(CCCCN)N,7010504,glucose ,C(C1C(C(C(C(O1)O)O)O)O)O,5793,pyrraline,C1=C(N(C(=C1)C=O)CCCCC(C(=O)O)N)CO,122228
Lys-Gly,C(CCN)CC(C(=O)NCC(=O)O)N,7022320,glucose ,C(C1C(C(C(C(O1)O)O)O)O)O,5793,pyrraline,C1=C(N(C(=C1)C=O)CCCCC(C(=O)O)N)CO,122228
Lys-Ser,C(CCN)CC(C(=O)NC(CO)C(=O)O)N,151428,glucose ,C(C1C(C(C(C(O1)O)O)O)O)O,5793,pyrraline,C1=C(N(C(=C1)C=O)CCCCC(C(=O)O)N)CO,122228
Lys-Ile,CCC(C)C(C(=O)O)NC(=O)C(CCCCN)N,"	7010499",glucose ,C(C1C(C(C(C(O1)O)O)O)O)O,5793,pyrraline,C1=C(N(C(=C1)C=O)CCCCC(C(=O)O)N)CO,122228
Lys-Leu,CC(C)CC(C(=O)O)NC(=O)C(CCCCN)N,"	7016103",glucose ,C(C1C(C(C(C(O1)O)O)O)O)O,5793,pyrraline,C1=C(N(C(=C1)C=O)CCCCC(C(=O)O)N)CO,122228
Lys-Thr,CC(C(C(=O)O)NC(=O)C(CCCCN)N)O,16049576,glucose ,C(C1C(C(C(C(O1)O)O)O)O)O,5793,pyrraline,C1=C(N(C(=C1)C=O)CCCCC(C(=O)O)N)CO,122228
Lys-Val,CC(C)C(C(=O)O)NC(=O)C(CCCCN)N,6992341,glucose ,C(C1C(C(C(C(O1)O)O)O)O)O,5793,pyrraline,C1=C(N(C(=C1)C=O)CCCCC(C(=O)O)N)CO,122228
 Lys-Ala-Gly,CC(C(=O)NCC(=O)O)NC(=O)C(CCCCN)N,"	54466615",glucose ,C(C1C(C(C(C(O1)O)O)O)O)O,5793,pyrraline,C1=C(N(C(=C1)C=O)CCCCC(C(=O)O)N)CO,122228
Lys-Gly-Gly,C(CCN)CC(C(=O)NCC(=O)NCC(=O)O)N,7019091,glucose ,C(C1C(C(C(C(O1)O)O)O)O)O,5793,pyrraline,C1=C(N(C(=C1)C=O)CCCCC(C(=O)O)N)CO,122228
Lys-Ser-Gly,C(CCN)CC(C(=O)NC(CO)C(=O)NCC(=O)O)N,145456766,glucose ,C(C1C(C(C(C(O1)O)O)O)O)O,5793,pyrraline,C1=C(N(C(=C1)C=O)CCCCC(C(=O)O)N)CO,122228
Lys-Val-Gly,CC(C)C(C(=O)NCC(=O)O)NC(=O)C(CCCCN)N,10380191,glucose ,C(C1C(C(C(C(O1)O)O)O)O)O,5793,pyrraline,C1=C(N(C(=C1)C=O)CCCCC(C(=O)O)N)CO,122228
Lys-Leu-Gly,CC(C)CC(C(=O)NCC(=O)O)NC(=O)C(CCCCN)N,24769460,glucose ,C(C1C(C(C(C(O1)O)O)O)O)O,5793,pyrraline,C1=C(N(C(=C1)C=O)CCCCC(C(=O)O)N)CO,122228
Lys-Thr-Gly,CC(C(C(=O)NCC(=O)O)NC(=O)C(CCCCN)N)O,145456781,glucose ,C(C1C(C(C(C(O1)O)O)O)O)O,5793,pyrraline,C1=C(N(C(=C1)C=O)CCCCC(C(=O)O)N)CO,122228
Lys-Ile-Gly,CCC(C)C(C(=O)NCC(=O)O)NC(=O)C(CCCCN)N,24769404,glucose ,C(C1C(C(C(C(O1)O)O)O)O)O,5793,pyrraline,C1=C(N(C(=C1)C=O)CCCCC(C(=O)O)N)CO,122228
lysine ,C(CCN)CC(C(=O)O)N,5962,glucose ,C(C1C(C(C(C(O1)O)O)O)O)O,5793,N¦Å-(carboxylmethyl)-L-lysine (CML),C(CCN)CC(C(=O)O)NCC(=O)O,123880
